INFO: 1.1 - Каталог: homework_1 | Флаг каталога: True | Папка: lesson_1
INFO: 1.2 - Каталог: seminar_1 | Флаг каталога: True | Папка: lesson_1
INFO: 1.3 - Файл: task_1 | Расширение: py | Папка: lesson_1
INFO: 1.4 - Файл: task_if_1 | Расширение: py | Папка: lesson_1
INFO: 1.5 - Файл: task_if_10 | Расширение: py | Папка: lesson_1
INFO: 1.6 - Файл: task_if_2 | Расширение: py | Папка: lesson_1
INFO: 1.7 - Файл: task_if_3 | Расширение: py | Папка: lesson_1
INFO: 1.8 - Файл: task_if_4 | Расширение: py | Папка: lesson_1
INFO: 1.9 - Файл: task_if_5 | Расширение: py | Папка: lesson_1
INFO: 1.10 - Файл: task_if_6 | Расширение: py | Папка: lesson_1
INFO: 1.11 - Файл: task_if_7 | Расширение: py | Папка: lesson_1
INFO: 1.12 - Файл: task_if_8 | Расширение: py | Папка: lesson_1
INFO: 1.13 - Файл: task_if_9 | Расширение: py | Папка: lesson_1
INFO: 1.14 - Файл: task_loop_1 | Расширение: py | Папка: lesson_1
INFO: 1.15 - Файл: task_loop_2 | Расширение: py | Папка: lesson_1
INFO: 1.16 - Файл: task_loop_3 | Расширение: py | Папка: lesson_1
INFO: 1.17 - Файл: task_loop_4 | Расширение: py | Папка: lesson_1
INFO: 1.18 - Файл: task_loop_5 | Расширение: py | Папка: lesson_1
INFO: 1.19 - Файл: task_loop_6 | Расширение: py | Папка: lesson_1
INFO: 1.20 - Файл: task_loop_7 | Расширение: py | Папка: lesson_1
INFO: 1.21 - Файл: task_loop_8 | Расширение: py | Папка: lesson_1
INFO: 1.22 - Файл: task_loop_9 | Расширение: py | Папка: lesson_1
INFO: 2.1 - Файл: 01 | Расширение: py | Папка: homework_1
INFO: 2.2 - Файл: 02 | Расширение: py | Папка: homework_1
INFO: 2.3 - Файл: 03 | Расширение: py | Папка: homework_1
INFO: 3.1 - Файл: 01 | Расширение: py | Папка: seminar_1
INFO: 3.2 - Файл: 02 | Расширение: py | Папка: seminar_1
INFO: 3.3 - Файл: 03 | Расширение: py | Папка: seminar_1
INFO: 3.4 - Файл: 04 | Расширение: py | Папка: seminar_1
INFO: 3.5 - Файл: 05 | Расширение: py | Папка: seminar_1
INFO: 3.6 - Файл: 06 | Расширение: py | Папка: seminar_1
